length,site,date
13.12,tuntable,11/12/2019
14.07,tuntable,11/12/2019
13.12,tuntable,11/12/2019
15.01,tuntable,11/12/2019
11.46,tuntable,11/12/2019
15.01,tuntable,11/12/2019
14.21,tuntable,11/12/2019
12.76,tuntable,11/12/2019
15.01,tuntable,11/12/2019
13.99,tuntable,11/12/2019
13.99,tuntable,11/12/2019
14.28,tuntable,11/12/2019
11.57,brindle,21/1/2020
10.51,brindle,21/1/2020
12.76,brindle,21/1/2020
15.47,brindle,21/1/2020
18.19,brindle,21/1/2020
10.71,brindle,21/1/2020
10.45,brindle,21/1/2020
8.93,brindle,21/1/2020
11.31,brindle,21/1/2020
11.84,brindle,21/1/2020
9.19,brindle,21/1/2020
14.15,brindle,21/1/2020
12.17,brindle,21/1/2020
9.59,brindle,21/1/2020
10.38,brindle,21/1/2020
15.01,brindle,21/1/2020
15.41,brindle,21/1/2020
13.23,brindle,21/1/2020
9.79,brindle,21/1/2020
10.65,brindle,21/1/2020
11.57,brindle,21/1/2020
8.8,brindle,21/1/2020
17.06,brindle,21/1/2020
8.93,brindle,21/1/2020
10.25,brindle,21/1/2020
8.07,brindle,21/1/2020
10.98,brindle,21/1/2020
17.99,brindle,21/1/2020
16.14,brindle,21/1/2020
11.44,brindle,21/1/2020
8.27,brindle,21/1/2020
12.83,brindle,21/1/2020
12.1,brindle,21/1/2020
14.81,brindle,21/1/2020
14.15,brindle,21/1/2020
10.98,brindle,21/1/2020
11.04,brindle,21/1/2020
10.71,brindle,21/1/2020
15.01,brindle,21/1/2020
13.03,brindle,21/1/2020
10.71,brindle,21/1/2020
12.7,brindle,21/1/2020
15.21,brindle,21/1/2020
10.32,brindle,21/1/2020
16.73,brindle,21/1/2020
10.65,brindle,21/1/2020
12.1,brindle,21/1/2020
8.86,brindle,21/1/2020
16.8,brindle,21/1/2020
10.91,brindle,21/1/2020
11.37,brindle,21/1/2020
10.44,brindle,21/1/2020
11.91,brindle,21/1/2020
16.6,brindle,21/1/2020
14.08,brindle,21/1/2020
12.75,brindle,21/1/2020
10.37,brindle,21/1/2020
9.53,brindle,21/1/2020
12.26,brindle,21/1/2020
9.6,brindle,21/1/2020
11.14,brindle,21/1/2020
7.99,brindle,21/1/2020
10.51,brindle,21/1/2020
10.44,brindle,21/1/2020
12.19,brindle,21/1/2020
9.32,brindle,21/1/2020
13.94,brindle,21/1/2020
15.62,brindle,21/1/2020
11.14,brindle,21/1/2020
13.73,brindle,21/1/2020
18.15,brindle,21/1/2020
13.8,brindle,21/1/2020
16.04,brindle,21/1/2020
11.84,brindle,21/1/2020
10.93,brindle,21/1/2020
16.18,brindle,21/1/2020
10.72,brindle,21/1/2020
14.36,brindle,21/1/2020
11.07,brindle,21/1/2020
12.12,brindle,21/1/2020
9.39,brindle,21/1/2020
18.92,brindle,21/1/2020
9.53,brindle,21/1/2020
10.79,brindle,21/1/2020
9.53,brindle,21/1/2020
10.58,brindle,21/1/2020
17.87,brindle,21/1/2020
9.25,brindle,21/1/2020
16.32,brindle,21/1/2020
15.34,brindle,21/1/2020
15.69,brindle,21/1/2020
12.61,brindle,21/1/2020
9.74,brindle,21/1/2020
16.11,brindle,21/1/2020
11.35,brindle,21/1/2020
14.57,brindle,21/1/2020
15.48,brindle,21/1/2020
10.72,brindle,21/1/2020
10.3,brindle,21/1/2020
15.62,brindle,21/1/2020
10.79,brindle,21/1/2020
10.44,brindle,21/1/2020
16.7,tuntable,22/1/2020
14.58,tuntable,22/1/2020
16.47,tuntable,22/1/2020
17.84,tuntable,22/1/2020
18.75,tuntable,22/1/2020
17.01,tuntable,22/1/2020
17.84,tuntable,22/1/2020
12.15,tuntable,22/1/2020
15.34,tuntable,22/1/2020
17.46,tuntable,22/1/2020
17.84,tuntable,22/1/2020
15.64,tuntable,22/1/2020
16.93,tuntable,22/1/2020
19.13,tuntable,22/1/2020
17.99,tuntable,22/1/2020
16.93,tuntable,22/1/2020
17.16,tuntable,22/1/2020
15.79,tuntable,22/1/2020
15.18,tuntable,22/1/2020
18.22,tuntable,22/1/2020
21.94,tuntable,22/1/2020
9.41,tuntable,22/1/2020
16.63,tuntable,22/1/2020
17.16,tuntable,22/1/2020
20.35,tuntable,22/1/2020
19.89,tuntable,22/1/2020
17.69,tuntable,22/1/2020
17.39,tuntable,22/1/2020
17.84,tuntable,22/1/2020
18.3,tuntable,22/1/2020
19.51,tuntable,22/1/2020
19.36,tuntable,22/1/2020
18.6,tuntable,22/1/2020
17.39,tuntable,22/1/2020
17.08,tuntable,22/1/2020
17.84,tuntable,22/1/2020
18.52,tuntable,22/1/2020
17.84,tuntable,22/1/2020
16.4,tuntable,22/1/2020
18.07,tuntable,22/1/2020
18.45,tuntable,22/1/2020
13.51,tuntable,22/1/2020
17.61,tuntable,22/1/2020
20.57,tuntable,22/1/2020
16.7,tuntable,22/1/2020
18.83,tuntable,22/1/2020
18.22,tuntable,22/1/2020
20.04,tuntable,22/1/2020
17.99,tuntable,22/1/2020
20.49,tuntable,22/1/2020
17.91,tuntable,22/1/2020
21.08,tuntable,22/1/2020
11.64,tuntable,22/1/2020
11.64,tuntable,22/1/2020
20.49,tuntable,22/1/2020
21.59,tuntable,22/1/2020
14.22,tuntable,22/1/2020
13.93,tuntable,22/1/2020
18.42,tuntable,22/1/2020
21.52,tuntable,22/1/2020
12.75,tuntable,22/1/2020
22.55,tuntable,22/1/2020
17.91,tuntable,22/1/2020
17.54,tuntable,22/1/2020
18.86,tuntable,22/1/2020
16.21,tuntable,22/1/2020
19.6,tuntable,22/1/2020
11.64,tuntable,22/1/2020
21.81,tuntable,22/1/2020
17.69,tuntable,22/1/2020
16.65,tuntable,22/1/2020
19.45,tuntable,22/1/2020
15.7,tuntable,22/1/2020
11.13,tuntable,22/1/2020
16.36,tuntable,22/1/2020
20.04,tuntable,22/1/2020
15.84,tuntable,22/1/2020
13.63,tuntable,22/1/2020
13.29,tuntable,22/1/2020
17.5,tuntable,22/1/2020
18.02,tuntable,22/1/2020
17.57,tuntable,22/1/2020
16.67,tuntable,22/1/2020
12.09,tuntable,22/1/2020
14.42,tuntable,22/1/2020
15.62,tuntable,22/1/2020
13.29,tuntable,22/1/2020
20.13,tuntable,22/1/2020
8.6,brindle,27/2/2020
9.22,brindle,27/2/2020
12.7,brindle,27/2/2020
17.35,brindle,27/2/2020
8.81,brindle,27/2/2020
9.22,brindle,27/2/2020
8.54,brindle,27/2/2020
7.38,brindle,27/2/2020
9.56,brindle,27/2/2020
12.29,brindle,27/2/2020
12.36,brindle,27/2/2020
8.95,brindle,27/2/2020
15.84,brindle,27/2/2020
13.66,brindle,27/2/2020
