length,site,date
14.57,brindle,25/9/2020
17.97,brindle,25/9/2020
8.01,brindle,5/11/2020
20.44,brindle,5/11/2020
9.56,brindle,5/11/2020
10.14,brindle,5/11/2020
9.65,brindle,5/11/2020
9.73,brindle,5/11/2020
10.46,brindle,5/11/2020
9.89,brindle,5/11/2020
10.46,brindle,5/11/2020
7.19,brindle,5/11/2020
10.79,brindle,5/11/2020
9.56,brindle,5/11/2020
10.38,brindle,5/11/2020
11.53,brindle,5/11/2020
10.3,brindle,5/11/2020
8.17,brindle,5/11/2020
9.65,brindle,5/11/2020
9.97,brindle,5/11/2020
9.97,brindle,5/11/2020
10.79,brindle,5/11/2020
9.65,brindle,5/11/2020
8.75,brindle,5/11/2020
8.66,brindle,5/11/2020
8.99,brindle,5/11/2020
10.71,brindle,5/11/2020
9.81,brindle,5/11/2020
9.4,brindle,5/11/2020
8.26,brindle,5/11/2020
10.14,brindle,5/11/2020
10.14,brindle,5/11/2020
9.32,brindle,5/11/2020
9.48,brindle,5/11/2020
8.99,brindle,5/11/2020
9.65,brindle,5/11/2020
10.22,brindle,5/11/2020
11.12,brindle,5/11/2020
8.58,brindle,5/11/2020
9.81,brindle,5/11/2020
9.07,brindle,5/11/2020
9.56,brindle,5/11/2020
8.91,brindle,5/11/2020
9.15,brindle,5/11/2020
10.54,brindle,5/11/2020
10.46,brindle,5/11/2020
9.97,brindle,5/11/2020
10.95,brindle,5/11/2020
11.12,brindle,5/11/2020
10.22,brindle,5/11/2020
11.2,brindle,5/11/2020
10.05,brindle,5/11/2020
10.54,brindle,5/11/2020
8.75,brindle,5/11/2020
9.89,brindle,5/11/2020
11.2,brindle,5/11/2020
10.14,brindle,5/11/2020
9.97,brindle,5/11/2020
8.91,brindle,5/11/2020
10.54,brindle,5/11/2020
9.81,brindle,5/11/2020
10.63,brindle,5/11/2020
10.87,brindle,5/11/2020
11.12,brindle,5/11/2020
10.87,brindle,5/11/2020
9.48,brindle,5/11/2020
10.22,brindle,5/11/2020
10.46,brindle,5/11/2020
11.69,brindle,5/11/2020
8.66,brindle,5/11/2020
10.3,brindle,5/11/2020
8.58,brindle,5/11/2020
9.81,brindle,5/11/2020
9.73,brindle,5/11/2020
9.73,brindle,5/11/2020
9.48,brindle,5/11/2020
9.73,brindle,5/11/2020
9.89,brindle,5/11/2020
7.03,brindle,5/11/2020
10.79,brindle,5/11/2020
9.32,brindle,5/11/2020
7.52,brindle,5/11/2020
9.07,brindle,5/11/2020
10.54,brindle,5/11/2020
11.12,brindle,5/11/2020
11.12,brindle,5/11/2020
9.81,brindle,5/11/2020
10.22,brindle,5/11/2020
9.97,brindle,5/11/2020
10.46,brindle,5/11/2020
10.79,brindle,5/11/2020
10.05,brindle,5/11/2020
19.29,brindle,5/11/2020
9.32,brindle,5/11/2020
11.03,brindle,5/11/2020
9.48,brindle,5/11/2020
11.03,brindle,5/11/2020
11.93,brindle,5/11/2020
10.05,brindle,5/11/2020
10.95,brindle,5/11/2020
9.81,brindle,5/11/2020
10.95,brindle,5/11/2020
9.48,brindle,5/11/2020
10.54,brindle,5/11/2020
11.44,brindle,5/11/2020
9.24,brindle,5/11/2020
10.63,brindle,5/11/2020
9.97,brindle,5/11/2020
9.73,brindle,5/11/2020
11.12,brindle,5/11/2020
8.83,brindle,5/11/2020
9.89,brindle,5/11/2020
10.38,brindle,5/11/2020
10.54,brindle,5/11/2020
8.83,brindle,5/11/2020
9.07,brindle,5/11/2020
10.63,brindle,5/11/2020
9.89,brindle,5/11/2020
9.24,brindle,5/11/2020
10.3,brindle,5/11/2020
9.56,brindle,5/11/2020
9.07,brindle,5/11/2020
10.3,brindle,5/11/2020
8.75,brindle,5/11/2020
13.16,brindle,5/11/2020
8.83,brindle,5/11/2020
10.95,brindle,5/11/2020
10.05,brindle,5/11/2020
8.91,brindle,5/11/2020
9.24,brindle,5/11/2020
9.56,brindle,5/11/2020
11.2,brindle,5/11/2020
9.81,brindle,5/11/2020
10.38,brindle,5/11/2020
9.15,brindle,5/11/2020
9.48,brindle,5/11/2020
9.15,brindle,5/11/2020
7.27,brindle,5/11/2020
10.14,brindle,5/11/2020
9.89,brindle,5/11/2020
10.22,brindle,5/11/2020
20.17,brindle,5/11/2020
9.64,brindle,5/11/2020
10.85,brindle,5/11/2020
10.6,brindle,5/11/2020
9.48,brindle,5/11/2020
9.64,brindle,5/11/2020
11.33,brindle,5/11/2020
9.48,brindle,5/11/2020
9.48,brindle,5/11/2020
9.96,brindle,5/11/2020
9.72,brindle,5/11/2020
11.09,brindle,5/11/2020
8.92,brindle,5/11/2020
9.56,brindle,5/11/2020
9.96,brindle,5/11/2020
9.24,brindle,5/11/2020
9.72,brindle,5/11/2020
8.92,brindle,5/11/2020
11.17,brindle,5/11/2020
9.8,brindle,5/11/2020
10.36,brindle,5/11/2020
10.93,brindle,5/11/2020
9.72,brindle,5/11/2020
12.13,brindle,5/11/2020
10.52,brindle,5/11/2020
6.99,brindle,5/11/2020
9.08,brindle,5/11/2020
9.64,brindle,5/11/2020
8.92,brindle,5/11/2020
9.56,brindle,5/11/2020
9,brindle,5/11/2020
9.48,brindle,5/11/2020
8.84,brindle,5/11/2020
11.09,brindle,5/11/2020
9.24,brindle,5/11/2020
8.19,brindle,5/11/2020
10.04,brindle,5/11/2020
10.2,brindle,5/11/2020
8.68,brindle,5/11/2020
10.2,brindle,5/11/2020
9.96,brindle,5/11/2020
10.12,brindle,5/11/2020
10.69,brindle,5/11/2020
9,brindle,5/11/2020
9.48,brindle,5/11/2020
10.2,brindle,5/11/2020
10.28,brindle,5/11/2020
9.8,brindle,5/11/2020
10.36,brindle,5/11/2020
10.04,brindle,5/11/2020
9,brindle,5/11/2020
10.44,brindle,5/11/2020
11.01,brindle,5/11/2020
8.62,brindle,29/1/2021
12.79,brindle,29/1/2021
13.68,brindle,29/1/2021
8.1,brindle,29/1/2021
9.29,brindle,29/1/2021
16.8,brindle,29/1/2021
9.67,brindle,29/1/2021
17.84,brindle,29/1/2021
15.09,brindle,29/1/2021
7.73,brindle,29/1/2021
8.62,brindle,29/1/2021
13.98,brindle,29/1/2021
16.28,brindle,29/1/2021
19.85,brindle,29/1/2021
16.13,brindle,29/1/2021
9.07,brindle,29/1/2021
9.07,brindle,29/1/2021
15.09,brindle,29/1/2021
13.68,brindle,29/1/2021
17.1,brindle,29/1/2021
14.2,brindle,29/1/2021
18.66,brindle,29/1/2021
14.94,brindle,29/1/2021
17.84,brindle,29/1/2021
15.69,brindle,29/1/2021
8.92,brindle,29/1/2021
13.9,brindle,29/1/2021
16.06,brindle,29/1/2021
10.48,brindle,29/1/2021
18.88,brindle,29/1/2021
19.18,brindle,29/1/2021
7.96,brindle,29/1/2021
8.77,brindle,29/1/2021
20.3,brindle,29/1/2021
12.86,brindle,29/1/2021
15.61,brindle,29/1/2021
13.23,brindle,29/1/2021
8.25,brindle,29/1/2021
14.05,brindle,29/1/2021
15.99,brindle,29/1/2021
16.88,brindle,29/1/2021
12.79,brindle,29/1/2021
15.02,brindle,29/1/2021
9.07,brindle,29/1/2021
15.32,brindle,29/1/2021
15.91,brindle,29/1/2021
10.04,brindle,29/1/2021
15.84,brindle,29/1/2021
10.78,brindle,29/1/2021
12.64,brindle,29/1/2021
14.5,brindle,29/1/2021
9.44,brindle,29/1/2021
9.29,brindle,29/1/2021
14.87,brindle,29/1/2021
16.58,brindle,29/1/2021
8.73,brindle,29/1/2021
10.84,brindle,29/1/2021
9.23,brindle,29/1/2021
9.74,brindle,29/1/2021
9.4,brindle,29/1/2021
9.32,brindle,29/1/2021
9.06,brindle,29/1/2021
9.06,brindle,29/1/2021
11.18,brindle,29/1/2021
12.2,brindle,29/1/2021
9.49,brindle,29/1/2021
9.4,brindle,29/1/2021
9.06,brindle,29/1/2021
14.57,brindle,29/1/2021
9.49,brindle,29/1/2021
9.32,brindle,29/1/2021
14.65,brindle,29/1/2021
15.76,brindle,29/1/2021
8.05,brindle,29/1/2021
9.91,brindle,29/1/2021
14.74,brindle,29/1/2021
9.32,brindle,29/1/2021
13.89,brindle,29/1/2021
14.15,brindle,29/1/2021
16.35,brindle,29/1/2021
16.43,brindle,29/1/2021
8.05,brindle,29/1/2021
